img	comment	related text	question	answer
29543-portrait.jpg	The portrait of Theresia Niedermeyer still reflects the Biedermeier portrait style combined with a looser application of paint			
		The portrait of Theresia Niedermeyer still reflects the Biedermeier portrait style combined with a looser application of paint	What still reflects the Biedermeier portrait style combined with a looser application of paint?	the portrait of Theresia Niedermeyer
		The portrait of Theresia Niedermeyer still reflects the Biedermeier portrait style combined with a looser application of paint	What does the portrait of Theresia Niedermeyer still reflect?	the Biedermeier portrait style combined with a looser application of paint
15500-3testfi.jpg	This scene is in the tympanum on the right wall.St Francis appeared before the Sultan in order to prove the strength of his faith and the power of his God. He is prepared to walk barefoot through a blazing fire for his faith. The bearded Muslim scholars or religious leaders on the left do not appear to be prepared to venture the same for their faith.It should be noted that the stories of the cycle, which are higher up and further from view, were probably left to his assistants: the Renunciation of Worldly Goods, the Trial by Fire before the Sultan and the Stigmata			
		The bearded Muslim scholars or religious leaders on the left do not appear to be prepared to venture the same for their faith.	Who do not appear to be prepared to venture the same for their faith?	the bearded Muslim scholars or religious leaders on the left
		This scene is in the tympanum on the right wall.	What is in the tympanum on the right wall?	this scene
		St Francis appeared before the Sultan in order to prove the strength of his faith and the power of his God.	What did St Francis appear before the Sultan in order to prove?	the strength of his faith and the power of his God
		St Francis appeared before the Sultan in order to prove the strength of his faith and the power of his God.	Who appeared before the Sultan in order to prove the strength of his faith and the power of his God?	St Francis
		St Francis appeared before the Sultan in order to prove the strength of his faith and the power of his God.	Who did St Francis appear before in order to prove the strength of his faith and the power of his God?	before the Sultan
		St Francis appeared before the Sultan in order to prove the strength of his faith and the power of his God.	What did St Francis appear before the Sultan in to prove the strength of his faith and the power of his God?	in order
31082-1adam01.jpg	On the right, the ancient Adam, seated on the ground and surrounded by his children, sends Seth to Archangel Michael. In the background we see the meeting between Seth and Michael, while on the left, in the shadow of a huge tree, Adam's body is buried in the presence of his family. By placing all three stages of the story within the same background landscape, Piero is abiding by traditional narrative schemes already used by Masaccio in his fresco of the Tribute Money in the Brancacci Chapel			
		By placing all three stages of the story within the same background landscape, Piero is abiding by traditional narrative schemes already used by Masaccio in his fresco of the Tribute Money in the Brancacci Chapel	What is Piero abiding by?	by traditional narrative schemes already used by Masaccio in his fresco of the Tribute Money in the Brancacci Chapel
		In the background we see the meeting between Seth and Michael, while on the left, in the shadow of a huge tree, Adam's body is buried in the presence of his family.	Who see the meeting between Seth and Michael?	we
		On the right, the ancient Adam, seated on the ground and surrounded by his children, sends Seth to Archangel Michael.	What is the ancient Adam seated on?	on the ground
		By placing all three stages of the story within the same background landscape, Piero is abiding by traditional narrative schemes already used by Masaccio in his fresco of the Tribute Money in the Brancacci Chapel	Who is abiding by traditional narrative schemes already used by Masaccio in his fresco of the Tribute Money in the Brancacci Chapel?	Piero
