IMAGE_FILE,DESCRIPTION,QUESTION,ANSWER
19873-1darmst.jpg,"The Meyer or Darmstadt Madonna is the last, most famous and most effective of Holbein's great religious works, above all in its depiction of individual human identities combined with spectacular spatial control and illusionism - as exemplified by the ruckled carpet.Standing in a scalloped niche with projecting consoles, Mary, with the Christ Child in her arms, is surrounded by the Meyer family. The hooped crown, an allusion to the German imperial crown, identifies her as the Queen of Heaven. Typologically, the painting is a Schutzmantelbild (a `Virgin of Pity' painting), in which the donor, Jakob Meyer, invokes and gains divine protection for himself and his family. Unusually, the donor is shown as the same size as the Virgin.Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity. This introspection is echoed by his wives the enigmatic enwrapped profile of his first, Magdalena Baer (who had died in 1511) and Dorothea Kannengiesser. Before them kneels Anna, the only surviving child, whose portrait drawing in chalk shows her with free-flowing hair. Holbein repainted her hair tied in a band after her engagement.In front of Jakob, in a Raphaelesque triangular pose deployed with subtlety and skill, his two deceased sons are depicted. The baby, with curly blonde hair and pudgy cheeks, has affinities with the Leonardo type. Also Leonardesque is the prowess shown in the foreshortening of the Christ-child's extended arm, and the naturalness of the baby's pose, which recall The Virgin of the Rocks",What does Meyer no longer staunchly outstare?,the world
19873-1darmst.jpg,"The Meyer or Darmstadt Madonna is the last, most famous and most effective of Holbein's great religious works, above all in its depiction of individual human identities combined with spectacular spatial control and illusionism - as exemplified by the ruckled carpet.Standing in a scalloped niche with projecting consoles, Mary, with the Christ Child in her arms, is surrounded by the Meyer family. The hooped crown, an allusion to the German imperial crown, identifies her as the Queen of Heaven. Typologically, the painting is a Schutzmantelbild (a `Virgin of Pity' painting), in which the donor, Jakob Meyer, invokes and gains divine protection for himself and his family. Unusually, the donor is shown as the same size as the Virgin.Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity. This introspection is echoed by his wives the enigmatic enwrapped profile of his first, Magdalena Baer (who had died in 1511) and Dorothea Kannengiesser. Before them kneels Anna, the only surviving child, whose portrait drawing in chalk shows her with free-flowing hair. Holbein repainted her hair tied in a band after her engagement.In front of Jakob, in a Raphaelesque triangular pose deployed with subtlety and skill, his two deceased sons are depicted. The baby, with curly blonde hair and pudgy cheeks, has affinities with the Leonardo type. Also Leonardesque is the prowess shown in the foreshortening of the Christ-child's extended arm, and the naturalness of the baby's pose, which recall The Virgin of the Rocks",What is an allusion to the German imperial crown?,the hooped crown
19873-1darmst.jpg,"The Meyer or Darmstadt Madonna is the last, most famous and most effective of Holbein's great religious works, above all in its depiction of individual human identities combined with spectacular spatial control and illusionism - as exemplified by the ruckled carpet.Standing in a scalloped niche with projecting consoles, Mary, with the Christ Child in her arms, is surrounded by the Meyer family. The hooped crown, an allusion to the German imperial crown, identifies her as the Queen of Heaven. Typologically, the painting is a Schutzmantelbild (a `Virgin of Pity' painting), in which the donor, Jakob Meyer, invokes and gains divine protection for himself and his family. Unusually, the donor is shown as the same size as the Virgin.Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity. This introspection is echoed by his wives the enigmatic enwrapped profile of his first, Magdalena Baer (who had died in 1511) and Dorothea Kannengiesser. Before them kneels Anna, the only surviving child, whose portrait drawing in chalk shows her with free-flowing hair. Holbein repainted her hair tied in a band after her engagement.In front of Jakob, in a Raphaelesque triangular pose deployed with subtlety and skill, his two deceased sons are depicted. The baby, with curly blonde hair and pudgy cheeks, has affinities with the Leonardo type. Also Leonardesque is the prowess shown in the foreshortening of the Christ-child's extended arm, and the naturalness of the baby's pose, which recall The Virgin of the Rocks",Who is the painting?,a Schutzmantelbild
19873-1darmst.jpg,"The Meyer or Darmstadt Madonna is the last, most famous and most effective of Holbein's great religious works, above all in its depiction of individual human identities combined with spectacular spatial control and illusionism - as exemplified by the ruckled carpet.Standing in a scalloped niche with projecting consoles, Mary, with the Christ Child in her arms, is surrounded by the Meyer family. The hooped crown, an allusion to the German imperial crown, identifies her as the Queen of Heaven. Typologically, the painting is a Schutzmantelbild (a `Virgin of Pity' painting), in which the donor, Jakob Meyer, invokes and gains divine protection for himself and his family. Unusually, the donor is shown as the same size as the Virgin.Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity. This introspection is echoed by his wives the enigmatic enwrapped profile of his first, Magdalena Baer (who had died in 1511) and Dorothea Kannengiesser. Before them kneels Anna, the only surviving child, whose portrait drawing in chalk shows her with free-flowing hair. Holbein repainted her hair tied in a band after her engagement.In front of Jakob, in a Raphaelesque triangular pose deployed with subtlety and skill, his two deceased sons are depicted. The baby, with curly blonde hair and pudgy cheeks, has affinities with the Leonardo type. Also Leonardesque is the prowess shown in the foreshortening of the Christ-child's extended arm, and the naturalness of the baby's pose, which recall The Virgin of the Rocks",How many Jakob's deceased sons are depicted in front of Jakob in a Raphaelesque triangular pose deployed with subtlety and skill?,Jakob's two deceased sons
19873-1darmst.jpg,"The Meyer or Darmstadt Madonna is the last, most famous and most effective of Holbein's great religious works, above all in its depiction of individual human identities combined with spectacular spatial control and illusionism - as exemplified by the ruckled carpet.Standing in a scalloped niche with projecting consoles, Mary, with the Christ Child in her arms, is surrounded by the Meyer family. The hooped crown, an allusion to the German imperial crown, identifies her as the Queen of Heaven. Typologically, the painting is a Schutzmantelbild (a `Virgin of Pity' painting), in which the donor, Jakob Meyer, invokes and gains divine protection for himself and his family. Unusually, the donor is shown as the same size as the Virgin.Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity. This introspection is echoed by his wives the enigmatic enwrapped profile of his first, Magdalena Baer (who had died in 1511) and Dorothea Kannengiesser. Before them kneels Anna, the only surviving child, whose portrait drawing in chalk shows her with free-flowing hair. Holbein repainted her hair tied in a band after her engagement.In front of Jakob, in a Raphaelesque triangular pose deployed with subtlety and skill, his two deceased sons are depicted. The baby, with curly blonde hair and pudgy cheeks, has affinities with the Leonardo type. Also Leonardesque is the prowess shown in the foreshortening of the Christ-child's extended arm, and the naturalness of the baby's pose, which recall The Virgin of the Rocks",What is the donor shown as?,as the same size as the Virgin
19873-1darmst.jpg,"The Meyer or Darmstadt Madonna is the last, most famous and most effective of Holbein's great religious works, above all in its depiction of individual human identities combined with spectacular spatial control and illusionism - as exemplified by the ruckled carpet.Standing in a scalloped niche with projecting consoles, Mary, with the Christ Child in her arms, is surrounded by the Meyer family. The hooped crown, an allusion to the German imperial crown, identifies her as the Queen of Heaven. Typologically, the painting is a Schutzmantelbild (a `Virgin of Pity' painting), in which the donor, Jakob Meyer, invokes and gains divine protection for himself and his family. Unusually, the donor is shown as the same size as the Virgin.Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity. This introspection is echoed by his wives the enigmatic enwrapped profile of his first, Magdalena Baer (who had died in 1511) and Dorothea Kannengiesser. Before them kneels Anna, the only surviving child, whose portrait drawing in chalk shows her with free-flowing hair. Holbein repainted her hair tied in a band after her engagement.In front of Jakob, in a Raphaelesque triangular pose deployed with subtlety and skill, his two deceased sons are depicted. The baby, with curly blonde hair and pudgy cheeks, has affinities with the Leonardo type. Also Leonardesque is the prowess shown in the foreshortening of the Christ-child's extended arm, and the naturalness of the baby's pose, which recall The Virgin of the Rocks",What does the baby have?,affinities with the Leonardo type
18759-guard301.jpg,"Whereas Canaletto incorporates classically inspired structures or ruins into his fantastic views, and accords them an important place in the composition, Francesco Guardi's capriccios mostly refer to his own immediate surroundings: the Venetian Lagoon. In this poetic scene decorative fishing boats with yellow and brown sails are illustrated, lying in still, light-green water. Similar little ships also figure prominently in a number of Guardi's town views. In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight. The composition is constructed clearly, by means of coulisses which harmonize with the nuances in the palette. The thickly painted foreground consists of a sand bar and a hillock, behind which the fishing tent is located. The middle distance is formed by a spit of land with the remains of a wall on it in subdued, brown tones, and a large ornamental vase on a pedestal, a motif that Guardi may have borrowed from Marco Ricci. Directly behind this rises the wispy silhouette of the city, which stands out against the low sunlight. The various levels are connected to one another by the transparently painted water, which merges with the sky almost imperceptibly at the horizon.The theme of the walled city on the water is reminiscent of the capriccios Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples. Guardi gave this view an unmistakably Venetian streak, however, by means of the Lagoon-like atmosphere and the striking belltowers, walls and roofs, which seem to be borrowed literally from the Venetian townscape",What are fishermen seated together in an in the foreground?,improvised tent
18759-guard301.jpg,"Whereas Canaletto incorporates classically inspired structures or ruins into his fantastic views, and accords them an important place in the composition, Francesco Guardi's capriccios mostly refer to his own immediate surroundings: the Venetian Lagoon. In this poetic scene decorative fishing boats with yellow and brown sails are illustrated, lying in still, light-green water. Similar little ships also figure prominently in a number of Guardi's town views. In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight. The composition is constructed clearly, by means of coulisses which harmonize with the nuances in the palette. The thickly painted foreground consists of a sand bar and a hillock, behind which the fishing tent is located. The middle distance is formed by a spit of land with the remains of a wall on it in subdued, brown tones, and a large ornamental vase on a pedestal, a motif that Guardi may have borrowed from Marco Ricci. Directly behind this rises the wispy silhouette of the city, which stands out against the low sunlight. The various levels are connected to one another by the transparently painted water, which merges with the sky almost imperceptibly at the horizon.The theme of the walled city on the water is reminiscent of the capriccios Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples. Guardi gave this view an unmistakably Venetian streak, however, by means of the Lagoon-like atmosphere and the striking belltowers, walls and roofs, which seem to be borrowed literally from the Venetian townscape",What stands out against the low sunlight?,the wispy silhouette of the city
18759-guard301.jpg,"Whereas Canaletto incorporates classically inspired structures or ruins into his fantastic views, and accords them an important place in the composition, Francesco Guardi's capriccios mostly refer to his own immediate surroundings: the Venetian Lagoon. In this poetic scene decorative fishing boats with yellow and brown sails are illustrated, lying in still, light-green water. Similar little ships also figure prominently in a number of Guardi's town views. In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight. The composition is constructed clearly, by means of coulisses which harmonize with the nuances in the palette. The thickly painted foreground consists of a sand bar and a hillock, behind which the fishing tent is located. The middle distance is formed by a spit of land with the remains of a wall on it in subdued, brown tones, and a large ornamental vase on a pedestal, a motif that Guardi may have borrowed from Marco Ricci. Directly behind this rises the wispy silhouette of the city, which stands out against the low sunlight. The various levels are connected to one another by the transparently painted water, which merges with the sky almost imperceptibly at the horizon.The theme of the walled city on the water is reminiscent of the capriccios Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples. Guardi gave this view an unmistakably Venetian streak, however, by means of the Lagoon-like atmosphere and the striking belltowers, walls and roofs, which seem to be borrowed literally from the Venetian townscape",Who are seated together in an improvised tent in the foreground?,fishermen
18759-guard301.jpg,"Whereas Canaletto incorporates classically inspired structures or ruins into his fantastic views, and accords them an important place in the composition, Francesco Guardi's capriccios mostly refer to his own immediate surroundings: the Venetian Lagoon. In this poetic scene decorative fishing boats with yellow and brown sails are illustrated, lying in still, light-green water. Similar little ships also figure prominently in a number of Guardi's town views. In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight. The composition is constructed clearly, by means of coulisses which harmonize with the nuances in the palette. The thickly painted foreground consists of a sand bar and a hillock, behind which the fishing tent is located. The middle distance is formed by a spit of land with the remains of a wall on it in subdued, brown tones, and a large ornamental vase on a pedestal, a motif that Guardi may have borrowed from Marco Ricci. Directly behind this rises the wispy silhouette of the city, which stands out against the low sunlight. The various levels are connected to one another by the transparently painted water, which merges with the sky almost imperceptibly at the horizon.The theme of the walled city on the water is reminiscent of the capriccios Luca Carlevaris and Marco Ricci painted some fifty or sixty years earlier under the influence of seventeenth-century Roman examples. Guardi gave this view an unmistakably Venetian streak, however, by means of the Lagoon-like atmosphere and the striking belltowers, walls and roofs, which seem to be borrowed literally from the Venetian townscape",What are fishermen seated together in an improvised tent in?,in the foreground
