QUESTION,SENTENCE,LABEL
What does Meyer no longer staunchly outstare?,"Chastened by worldly failure and disgrace, Meyer no longer staunchly outstares the world but has his eyes fixed on other realms in meditative intensity.",1
What are fishermen seated together in an in the foreground?,"In the foreground fishermen are seated together in an improvised tent, while elsewhere men are busy moving freight.",1
What does the refinement of the coloring and complexity of pose are linked to the typically late Mannerist quest for technical prowess in?,In this painting the refinement of the coloring and complexity of poses are linked to the typically late Mannerist quest for technical prowess; yet the attempt to return to a more direct expression of physical reality can be observed,1
What was cut?,"The left side of the painting was cut, originally Saint John was depicted behind Mary, and the motive of hand kissing was in the center of the composition",1
What has a frame which a composition Scheffer repeated several times specially devised to suit the subject?,This is the prime version of a composition Scheffer repeated several times and it has a frame which he specially devised to suit the subject.,1
What can clouds recognize on the right among the other instruments?,"Among the other instruments we can recognize a beautiful lute on the left, and a small oval-shaped violin (or mandola) on the right.",1
Who was Maso di Banco one of?,"The chapel was frescoed c. 1335 by Maso di Banco, one of Giotto's pupils and followers.",1
Who did Juan Pardo de Tavera hold under Charles V?,"Juan Pardo de Tavera held both important ecclesiastical and political offices under Charles V, being active among other things as Grand Inquisitor and government chief of Castile.",1
Who was Malchus?,"He identified Peter by means of the threatening dagger that he would, at dawn, use to cut off the ear of Malchus, one of the soldiers arresting Jesus.",1
Who must Kunsthistorisches Museum have known in Antwerp?,"The composition was probably inspired, but only in the broadest of outlines, by Pieter Bruegel's painting of this subject, dated 1564, now in Vienna, Kunsthistorisches Museum, which Baltens must have known in Antwerp",1
What does the painting represent?,The painting represents a mountain landscape with a hunting party,1
What does St Mary Magdalen's left hand hold?,"Her left hand holds the vase of ointment, with the right she presses the edge of her cloak to her eye.",1
Who was the artist the elder brother of?,He was the elder brother of Vicente Carducho,1
What are not based on any mythological theme?,These paintings of Venus are not based on any mythological theme.,1
