img	comment	related text	question	answer
00338-portrai5.jpg	The portrait represents Tommaso de' Bardi, a Florentine exile in Rome, half length, in a black doublet and hose with a statue of Fame.At nineteen Allori moved to Rome, where he was for two years, studying the ancient statues and the works of Michelangelo. At the same time he did many portraits among them that of Tommaso de' Bardi and of his wife Ortensia Montauti			
		At nineteen Allori moved to Rome, where he was for two years, studying the ancient statues and the works of Michelangelo.	Who was for two years?	Allori
		At the same time he did many portraits among them that of Tommaso de ' Bardi and of his wife Ortensia Montauti	What did Allori do many portraits among Tommaso de ' Bardi that of Tommaso de ' Bardi and of his wife Ortensia Montauti at?	at the same time
		At nineteen Allori moved to Rome, where he was for two years, studying the ancient statues and the works of Michelangelo.	Where did Allori move at nineteen?	to Rome
		The portrait represents Tommaso de ' Bardi, a Florentine exile in Rome, half length, in a black doublet and hose with a statue of Fame.	Whose Bardi, a Florentine exile in Rome, half length and hose with a statue of Fame does the portrait represent?	Tommaso de ' Bardi, a Florentine exile in Rome, half length and hose with a statue of Fame
		At nineteen Allori moved to Rome, where he was for two years, studying the ancient statues and the works of Michelangelo.	Who studied the ancient statues and the works of Michelangelo?	Allori
		At nineteen Allori moved to Rome, where he was for two years, studying the ancient statues and the works of Michelangelo.	Who moved to Rome at nineteen?	Allori
30647-navalvic.jpg	The Sala dello Scrutinio (Voting Hall) is the second largest hall of the Doge's Palace. The balloting and secret votes of the magistracies and the doge took place in this hall with the very complicated systems that the Venetian Republic had created to avoid intrigues and subterfuge during the elections and, above all, to ensure that the vote could not be bought especially from the poor nobility in favour of its richer equivalent.The iconographic theme of the hall of the Sala dello Scrutinio was inspired by the Venetian naval victories on the Eastern seas shown in the numerous ceiling canvases depicting virtues and symbolic figures. Sante Peranda's painting is on the wall of the Sala dello Scrutinio, it depicts the naval victory of the Venetians at Jaffa against the Egyptians			
		The iconographic theme of the hall of the Sala dello Scrutinio was inspired by the Venetian naval victories on the Eastern seas shown in the numerous ceiling canvases depicting virtues and symbolic figures.	What was the iconographic theme of the hall of the Sala dello Scrutinio inspired by?	by the Venetian naval victories on the Eastern seas shown in the numerous ceiling canvases depicting virtues and symbolic figures
		Sante Peranda's painting is on the wall of the Sala dello Scrutinio, it depicts the naval victory of the Venetians at Jaffa against the Egyptians	Whose painting is on the wall of the Sala dello Scrutinio?	Sante Peranda's painting
		The Sala dello Scrutinio (Voting Hall) is the second largest hall of the Doge's Palace.	What is the Sala dello Scrutinio the second largest hall of?	of the Doge's Palace
		The Sala dello Scrutinio (Voting Hall) is the second largest hall of the Doge's Palace.	Whose Palace is the Sala dello Scrutinio the second largest hall of?	of the Doge's Palace
		Sante Peranda's painting is on the wall of the Sala dello Scrutinio, it depicts the naval victory of the Venetians at Jaffa against the Egyptians	What is Sante Peranda's painting on?	on the wall of the Sala dello Scrutinio
		The Sala dello Scrutinio (Voting Hall) is the second largest hall of the Doge's Palace.	What is the Sala dello Scrutinio?	the second largest hall of the Doge's Palace
16878-lisbon.jpg	The 1755 Lisbon earthquake, also known as the Great Lisbon earthquake, occurred in the Kingdom of Portugal on Saturday, 1 November, the holy day of All Saints' Day. In combination with subsequent fires and a tsunami, the earthquake almost totally destroyed Lisbon and adjoining areas. Estimates place the death toll in Lisbon alone between 10,000 and 100,000 people, making it one of the deadliest earthquakes in history			
		In combination with subsequent fires and a tsunami, the earthquake almost totally destroyed Lisbon and adjoining areas.	What did the earthquake destroy in combination with subsequent fires and a tsunami?	Lisbon and adjoining areas
		In combination with subsequent fires and a tsunami, the earthquake almost totally destroyed Lisbon and adjoining areas.	What destroyed Lisbon and adjoining areas in combination with subsequent fires and a tsunami?	the earthquake
		The 1755 Lisbon earthquake, also known as the Great Lisbon earthquake, occurred in the Kingdom of Portugal on Saturday, 1 November, the holy day of All Saints ' Day.	What occurred in the Kingdom of Portugal on Saturday November?	the 1755 Lisbon earthquake
		The 1755 Lisbon earthquake, also known as the Great Lisbon earthquake, occurred in the Kingdom of Portugal on Saturday, 1 November, the holy day of All Saints ' Day.	What was also known as the Great Lisbon earthquake?	the 1755 Lisbon earthquake
		The 1755 Lisbon earthquake, also known as the Great Lisbon earthquake, occurred in the Kingdom of Portugal on Saturday, 1 November, the holy day of All Saints ' Day.	When was 1?	Saturday
		The 1755 Lisbon earthquake, also known as the Great Lisbon earthquake, occurred in the Kingdom of Portugal on Saturday, 1 November, the holy day of All Saints ' Day.	What was Saturday?	1
13219-stil_fru.jpg	Jan Davidsz de Heem arrived in Antwerp in 1636 and brought to still-life painting a more simplified sense of composition and a more intimate atmosphere. But this intimate quality had, ever since the beginning of the century, seeped into the work of severe painters like Osias Beert, Jacob van Es and those young painters, emulators or disciples of Velvet Brueghel whose botanical precision resembles the fine work of a limner			
		Jan Davidsz de Heem arrived in Antwerp in 1636 and brought to still-life painting a more simplified sense of composition and a more intimate atmosphere.	Who brought to still-life painting a more simplified sense of composition and a more intimate atmosphere?	Jan Davidsz de Heem
		Jan Davidsz de Heem arrived in Antwerp in 1636 and brought to still-life painting a more simplified sense of composition and a more intimate atmosphere.	Where did Jan Davidsz de Heem arrive in 1636?	in Antwerp
